Code,Title
belowThreshold,Допорогові закупівлі
aboveThresholdUA,Відкриті торги
aboveThresholdEU,Відкриті торги з публікацією англійською мовою
negotiation,Переговорна процедура
negotiation.quick,Переговорна процедура (скорочена)
aboveThresholdUA.defense,Переговорна процедура для потреб оборони
competitiveDialogueUA,Конкурентний діалог 1-ий етап
competitiveDialogueEU,Конкурентний діалог з публікацією англійською мовою 1-ий етап
competitiveDialogueUA.stage2,Конкурентний діалог 2-ий етап
competitiveDialogueEU.stage2,Конкурентний діалог з публікацією англійською мовою 2-ий етап
reporting,Звіт про укладений договір
esco,Відкриті торги для закупівлі енергосервісу
closeFrameworkAgreementUA,Укладання рамкової угоди
closeFrameworkAgreementSelectionUA,Відбір для закупівлі за рамковою угодою